Name,Catalogue,Paper,ID,Source,Table No.,Link,Reference Paper DOI,Index,Key,RA Column,DEC Column,Z,Best Z,Quality_Flags,Type_Flag,Marker size,Saved,Use
EXAMPLE,Example_Catalogue,Example Papers & Their Uses,J/W/EX_C,Vizier,0,www.data.com/example,DOI.1234,recno,None,RAJ2000,DEC2000,"[""Z1"","" Z2""]",Z1,None,None,0.01,No,None
Hatfield-XMM,Photometric Redshifts in XMM-LSS,Hybrid photometric redshifts for sources in the COSMOS and XMM-LSS fields,J/MNRAS/513/3719,Vizier,0,https://ui.adsabs.harvard.edu/abs/2022yCat..75133719H/abstract,10.1093/mnras/stac1042,recno,None,RAJ2000,DEJ2000,"[""zphHBbest"",""zphMLbest"",""zphTemp""]",zphHBbest,"[""Flag"","""",""""]",None,0.00001,Yes,Yes
Hatfield-COSMOS,Photometric Redshifts in COSMOS,Hybrid photometric redshifts for sources in the COSMOS and XMM-LSS fields,J/MNRAS/513/3719,Vizier,1,https://ui.adsabs.harvard.edu/abs/2022yCat..75133719H/abstract,10.1093/mnras/stac1042,recno,None,RAJ2000,DEJ2000,"[""zphHBbest"",""zphMLbest"",""zphTemp""]",zphHBbest,"[""Flag"","""",""""]",None,0.00001,Yes,Yes
XMM-SERVS,XMM-LSS field. New XMM-Newton point-source cat.,The XMM-SERVS survey: new XMM-Newton point-source catalogue for the XMM-LSS field,J/MNRAS/478/2132,Vizier,0,https://ui.adsabs.harvard.edu/abs/2021yCat..74782132C/abstract,10.1093/mnras/sty1036,recno,None,RAJ2000,DEJ2000,"[""zph"",""zsp""]",zph,"[""q_zph"", """"]",None,0.00001,Yes,Yes
COSMOS-Web,Cosmic web of galaxies in the COSMOS field,Cosmic Web of Galaxies in the COSMOS Field: Public Catalog and Different Quenching for Centrals and Satellites,J/ApJ/837/16,Vizier,0,https://ui.adsabs.harvard.edu/abs/2017yCat..18370016D/abstract,10.26093/cds/vizier.18370016,recno,None,RAJ2000,DEJ2000,"[""zph""]",zph,None,"[""Type""]",0.01,Yes,Yes
SPITZER-70,SPITZER 70 _m OBSERVATIONS OF THE COSMOS FIELD,SPITZER 70 AND 160 _m OBSERVATIONS OF THE COSMOS FIELD,J/AJ/138/1261,Vizier,0,https://ui.adsabs.harvard.edu/abs/2009AJ....138.1261F/abstract,10.1088/0004-6256/138/5/1261,recno,None,RAJ2000,DEJ2000,None,None,None,None,0.01,Yes,Yes
SPITZER-160,SPITZER 160 _m OBSERVATIONS OF THE COSMOS FIELD,SPITZER 70 AND 160 _m OBSERVATIONS OF THE COSMOS FIELD,J/AJ/138/1261,Vizier,1,https://ui.adsabs.harvard.edu/abs/2009AJ....138.1261F/abstract,10.1088/0004-6256/138/5/1261,recno,None,RAJ2000,DEJ2000,None,None,None,None,0.01,Yes,Yes
COSMOS2020-FARMER,The COSMOS2020 Farmer catalog,COSMOS2020: A Panchromatic View of the Universe to z_10 from Two Complementary Catalogs,J/ApJS/258/11,Vizier,2,https://ui.adsabs.harvard.edu/abs/2022yCat..22580011W/abstract,10.26093/cds/vizier.22580011,recno,None,RAJ2000,DEJ2000,"[""EZzphot"",""lpzBEST"",""lpzp2""]",lpzBEST,None,"[""lptype""]",0.00001,Yes,Yes
COSMOS2020-CLASSIC,The COSMOS2020 Classic catalog,COSMOS2020: A Panchromatic View of the Universe to z_10 from Two Complementary Catalogs,J/ApJS/258/11,Vizier,1,https://ui.adsabs.harvard.edu/abs/2022yCat..22580011W/abstract,10.26093/cds/vizier.22580011,recno,None,RAJ2000,DEJ2000,"[""EZzphot"",""lpzBEST"",""lpzp2""]",lpzBEST,None,"[""lptype""]",0.00001,Yes,Yes
zCOSMOS-DR3,"zCOSMOS-bright catalog, DR3",zCOSMOS: A LARGE VLT/VIMOS REDSHIFT SURVEY COVERING 0 < z < 3 IN THE COSMOS FIELD,J/ApJS/172/70,Vizier,0,https://ui.adsabs.harvard.edu/abs/2023yCat..21720070L/abstract,10.26093/cds/vizier.21720070,recno,None,RAJ2000,DEJ2000,"[""z""]",z,"[""CC""]",None,0.001,Yes,Yes
ZFIRE-0,ZFIRE v1.0 data release,ZFIRE: A KECK/MOSFIRE SPECTROSCOPIC SURVEY OF GALAXIES IN RICH ENVIRONMENTS AT z _ 2,J/ApJ/828/21,Vizier,0,https://ui.adsabs.harvard.edu/abs/2017yCat..18280021N/abstract,10.26093/cds/vizier.18280021,recno,None,RAJ2000,DEJ2000,"[""zsp""]",zsp,"[""q_zsp""]","[""AGN""]",1,Yes,Yes
ZFIRE-1,ZFIRE v1.0 data release,ZFIRE: A KECK/MOSFIRE SPECTROSCOPIC SURVEY OF GALAXIES IN RICH ENVIRONMENTS AT z _ 2,J/ApJ/828/21,Vizier,1,https://ui.adsabs.harvard.edu/abs/2017yCat..18280021N/abstract,10.26093/cds/vizier.18280021,recno,None,RAJ2000,DEJ2000,"[""zsp""]",zsp,"[""q_zsp""]","[""AGN""]",1,Yes,Yes
FMOS-COSMOS,FMOS-COSMOS survey III. 0.7<z<2.5 galaxies,"THE FMOS-COSMOS SURVEY OF STAR-FORMING GALAXIES AT z _ 1.6. III. SURVEY DESIGN, PERFORMANCE, AND SAMPLE CHARACTERISTICS",J/ApJS/220/12,Vizier,0,https://ui.adsabs.harvard.edu/abs/2015yCat..22200012S/abstract,10.26093/cds/vizier.22200012,recno,None,RAJ2000,DEJ2000,"[""z"",""zCOS""]",z,"[""q_z"",""q_zCOS""]",None,0.01,Yes,Yes
VLA-COSMOS,VLA-COSMOS 3 GHz Large Project,The VLA-COSMOS 3 GHz Large Project: Continuum data and source catalog release,J/A+A/602/A1,Vizier,0,https://ui.adsabs.harvard.edu/abs/2016yCat..36020001S/abstract,10.26093/cds/vizier.36020001,recno,None,RAJ2000,DEJ2000,None,None,None,None,0.1,Yes,Yes
XMM-LSS,XMM-LSS catalogue. Version II,The XMM-Large Scale Structure catalogue - II. X-ray sources and associated multiwavelength data,J/MNRAS/429/1652,Vizier,0,https://ui.adsabs.harvard.edu/abs/2013yCat..74291652C/abstract,10.1093/mnras/sts453,Xseq,None,XRA,XDE,None,None,None,None,0.1,Yes,Yes
None,None,The VIMOS Ultra-Deep Survey: ~10 000 galaxies with spectroscopic redshifts to study galaxy assembly at early epochs 2 < z _ 6,None,Simbad,None,None,None,None,None,None,None,None,None,None,"[""Tphot""]",1,Yes,Yes
COSMOS-Photometry,COSMOS Multi-Wavelength Photometry Catalog,The First Release COSMOS Optical and Near-IR Data and Catalog,II/284,Vizier,0,https://ui.adsabs.harvard.edu/abs/2008yCat..21720099C/abstract,10.1086/519081,COSMOS,None,RAJ2000,DEJ2000,"[""zphot""]",zphot,None,None,0.00001,Yes,Yes
COSMOS-AGN,AGN candidates in the COSMOS field,Magellan Spectroscopy of AGN Candidates in the COSMOS Field,J/ApJS/172/383,Vizier,0,https://ui.adsabs.harvard.edu/abs/2007ApJS..172..383T/abstract,10.1086/516578,recno,None,RAJ2000,DEJ2000,['z'],z,"[""zconf""]","[""Type""]",0.01,Yes,Yes
CANDELS,Multi-wavelength data in CANDELS COSMOS field,CANDELS Multi-wavelength Catalogs: Source Identification and Photometry in the CANDELS COSMOS Survey Field,J/ApJS/228/7,Vizier,"[2,1,0]",https://ui.adsabs.harvard.edu/abs/2017ApJS..228....7N/abstract,10.3847/1538-4365/228/1/7,recno,Seq,RAJ2000,DEJ2000,"[""zbest"",""zspec_x"",""zspec_y"",""zphot""]",zbest,"["""",""q_zspec_x"",""q_zspec_y"",""""]","[""AGN""]",0.00001,Yes,Yes
COSMOS-XMM-Newton,XMM-Newton wide-field survey in COSMOS field,The XMM-Newton wide-field survey in the COSMOS field. The point-like X-ray source catalogue,J/A+A/497/635,Vizier,0,https://ui.adsabs.harvard.edu/abs/2009A%26A...497..635C/abstract,10.26093/cds/vizier.34970635,recno,None,RAJ2000,DEJ2000,None,None,None,None,0.01,Yes,Yes
